"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*03cd2*","C.J. Mosley","NYJ","LB","147","Yoshi","30","NYJ 6<br/>@MIA 11 F","500,000","2nd","152.5","9.53","10","88%","16","0","0","0"
"*040f8*","Kevin Byard","TEN","DB","149","Bryce","29","TEN 16<br/>@JAX 20 F","500,000","2nd","151.6","8.92","6","75%","17","0","0","0"
"*03ccz*","Aaron Donald","LAR","DL","150","SNLR","31","LAR 16<br/>@SEA 19 F","4,000,000","2nd","151.5","8.91","7","75%","17","0","0","0"
"*026sa*","Robert Quinn","CHI/PHI","DL,LB","155","DN","32","NYG 16<br/>@PHI 22 F","500,000","1st","148","9.25","","25%","16","0","0","0"
"*04ca0*","Myles Garrett","CLE","DL","158","Shelton","27","CLE 14<br/>@PIT 28 F","15,022,500","5th","146.5","8.62","9","100%","17","0","0","0"
"*03oia*","Denzel Perryman","LV","LB","159","QBRT","30","KC 31<br/>@LV 13 F","7,000,000","2022","146.5","9.77","6","50%","15","0","0","0"
"*04ymy*","Nick Bosa","SF","DL","160","Pong","25","ARI 13<br/>@SF 38 F","625,000","3rd","145.5","8.56","9","75%","17","0","0","0"
"*040ey*","Deion Jones","ATL/CLE","LB","162","Bryce","28","CLE 14<br/>@PIT 28 F","12,421,625","5th","145","9.06","","50%","16","0","0","0"
"*040jg*","Kamu Grugier-Hill","HOU/ARI","LB","168","FA","28","ARI 13<br/>@SF 38 F","500,000","1st","142.2","10.16","13","12%","14","0","0","0"
"*040ds*","Jalen Ramsey","LAR","DB","169","Yoshi","28","LAR 16<br/>@SEA 19 F","500,000","9th","142.1","8.88","11","88%","16","0","0","0"
"*04yn8*","Devin White","TB","LB","170","Pong","25","TB 17<br/>@ATL 30 F","13,000,000","2022","141.5","8.32","11","88%","17","0","0","0"
"*04mo4*","Derwin James","LAC","DB","173","Yoshi","26","LAC 28<br/>@DEN 31 F","12,206,250","5th","140","9.33","8","75%","15","0","0","0"
"*03osn*","Alex Singleton","DEN","LB","174","DN","29","LAC 28<br/>@DEN 31 F","2,000,000","2nd","139.9","8.74","9","88%","16","0","0","0"
"*02zwa*","Micah Hyde","BUF","DB","175","FA","32","NE 23<br/>@BUF 35 F","500,000","1st","139.1","8.18","7","38%","17","0","0","0"
"*04zuu*","Bobby Okereke","IND","LB","176","Pong","26","HOU 32<br/>@IND 31 F","8,000,000","2022","139","8.18","9","100%","17","0","0","0"
"*04cbx*","Budda Baker","ARI","DB","177","Aaron","27","ARI 13<br/>@SF 38 F","6,800,000","2nd","138.6","8.15","13","75%","17","0","0","0"
"*040gb*","Justin Simmons","DEN","DB","178","ROTK_Ben","29","LAC 28<br/>@DEN 31 F","3,300,000","3rd","138.6","8.15","9","75%","17","0","0","0"
"*0529i*","Jalen Thompson","ARI","DB","181","DN","24","ARI 13<br/>@SF 38 F","500,000","1st","138.4","8.14","13","75%","17","0","0","0"
"*04cgb*","Xavier Woods","CAR","DB","184","Bryce","27","CAR 10<br/>@NO 7 F","500,000","3rd","137.9","8.11","13","50%","17","0","0","0"
"*03ojd*","Jordan Hicks","MIN","LB","186","Yoshi","30","MIN 29<br/>@CHI 13 F","500,000","2nd","137","8.06","7","88%","17","0","0","0"
"*040kj*","Jayron Kearse","DAL","DB","187","FA","29","DAL 6<br/>@WAS 26 F","500,000","1st","136.9","8.56","9","50%","16","0","0","0"
"*02j8l*","Harrison Smith","MIN","DB","189","QBRT","34","MIN 29<br/>@CHI 13 F","5,000,000","2022","136","9.07","7","50%","15","0","0","0"
"*04ogm*","Fred Warner","SF","LB","191","SNLR","26","ARI 13<br/>@SF 38 F","20,380,913","4th","135.5","8.47","9","100%","16","0","0","0"
"*05jad*","Xavier McKinney","NYG","DB","193","DN","24","NYG 16<br/>@PHI 22 F","550,000","11th","134.9","7.94","9","75%","17","0","0","0"
"*04mny*","Minkah Fitzpatrick","PIT","DB","194","SNLR","26","CLE 14<br/>@PIT 28 F","14,810,087","4th","134.3","8.39","9","75%","16","0","0","0"
"*02j9v*","Demario Davis","NO","LB","195","Shelton","34","CAR 10<br/>@NO 7 F","13,963,802","5th","133","8.31","14","75%","16","0","0","0"
"*04mon*","Harold Landry","TEN","LB","196","FA","26","TEN 16<br/>@JAX 20 F","500,000","9th","132.5","7.79","6","50%","17","0","0","0"
"*026sl*","Cameron Jordan","NO","DL","197","RBM","33","CAR 10<br/>@NO 7 F","500,000","2nd","132","8.25","14","75%","16","0","0","0"
"*04cf8*","Desmond King","HOU","DB","199","Yoshi","28","HOU 32<br/>@IND 31 F","500,000","9th","130.6","8.16","6","38%","16","0","0","0"
"*04cdn*","Rasul Douglas","GB","DB","200","FA","27","DET 20<br/>@GB 16 F","500,000","1st","130.5","10.88","14","75%","12","0","0","0"
"*05jag*","Kyle Dugger","NE","DB","201","FA","27","NE 23<br/>@BUF 35 F","500,000","1st","130.5","8.7","10","75%","15","0","0","0"
"*03oho*","Shaq Thompson","CAR","LB","203","QBRT","28","CAR 10<br/>@NO 7 F","500,000","2nd","129.9","9.28","13","88%","14","0","0","0"
"*04yph*","T.J. Edwards","PHI","LB","206","Nick","26","NYG 16<br/>@PHI 22 F","500,000","9th","129.1","8.07","14","88%","16","0","0","0"
"*040en*","Xavien Howard","MIA","DB","207","Bryce","29","NYJ 6<br/>@MIA 11 F","500,000","9th","128.9","8.06","11","38%","16","0","0","0"
"*03dk4*","Adrian Phillips","NE","DB","212","FA","31","NE 23<br/>@BUF 35 F","500,000","1st","127.4","7.49","10","25%","17","0","0","0"
"*03omn*","Quandre Diggs","SEA","DB","213","FA","30","LAR 16<br/>@SEA 19 F","500,000","1st","127.3","7.49","11","50%","17","0","0","0"
"*05j9r*","A.J. Terrell","ATL","DB","215","FA","24","TB 17<br/>@ATL 30 F","500,000","1st","127.2","7.95","14","75%","16","0","0","0"
"*05jfd*","Tae Crowder","NYG/PIT","LB","216","FA","26","CLE 14<br/>@PIT 28 F","500,000","1st","127.1","7.48","9","25%","17","0","0","0"
"*05je5*","Isaiah Rodgers","IND","DB","217","FA","25","HOU 32<br/>@IND 31 F","500,000","1st","127","7.47","14","0%","17","0","0","0"
"*040is*","Anthony Brown","DAL","DB","218","Mullen","29","DAL 6<br/>@WAS 26 F","500,000","9th","127","7.94","","25%","16","0","0","0"
"*04mpm*","Jerome Baker","MIA","LB","220","ROTK_Ben","26","NYJ 6<br/>@MIA 11 F","4,100,000","3rd","126.5","7.91","11","75%","16","0","0","0"
"*04zv0*","Quincy Williams","NYJ","LB","224","RBM","26","NYJ 6<br/>@MIA 11 F","500,000","1st","126","7.88","10","75%","16","0","0","0"
"*040hw*","Matt Judon","NE","LB","227","Bryce","30","NE 23<br/>@BUF 35 F","2,088,934","4th","124","7.29","10","75%","17","0","0","0"
"*02ztz*","Logan Ryan","TB","DB","228","FA","32","TB 17<br/>@ATL 30 F","500,000","1st","124","8.27","","25%","15","0","0","0"
"*05064*","Azeez Al-Shaair","SF","LB","229","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","123.9","9.53","6","50%","13","0","0","0"
"*04yn5*","Josh Allen","JAX","DL,LB","231","Roberto","25","TEN 16<br/>@JAX 20 F","1,400,000","1st","123.6","7.72","11","75%","16","0","0","0"
"*04yod*","Taylor Rapp","LAR","DB","233","DN","25","LAR 16<br/>@SEA 19 F","500,003","11th","123.1","7.24","7","38%","17","0","0","0"
"*05j9o*","Isaiah Simmons","ARI","LB","234","Nick","24","ARI 13<br/>@SF 38 F","625,000","3rd","122.5","7.21","13","88%","17","0","0","0"
"*05jas*","Logan Wilson","CIN","LB","235","Aaron","26","BAL 16<br/>@CIN 27 F","562,500","2nd","122.1","9.39","10","75%","13","0","0","0"
"*05jaj*","Antoine Winfield","TB","DB","237","Yoshi","24","TB 17<br/>@ATL 30 F","500,000","3rd","122","9.38","11","88%","13","0","0","0"
"*05jaw*","Jeremy Chinn","CAR","LB,DB","236","Aaron","25","CAR 10<br/>@NO 7 F","500,000","2nd","122","7.18","13","75%","17","0","0","0"
"*05rmh*","Nick Bolton","KC","LB","240","LCS","23","KC 31<br/>@LV 13 F","500,000","2nd","121.5","7.59","8","100%","16","0","0","0"
"*04yqb*","Byron Murphy","ARI","DB","242","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","121.2","7.57","7","12%","16","0","0","0"
"*04cfb*","Matt Milano","BUF","LB","246","Mullen","28","NE 23<br/>@BUF 35 F","500,000","9th","120","7.5","7","88%","16","0","0","0"
"*04ca7*","Marshon Lattimore","NO","DB","245","FA","26","CAR 10<br/>@NO 7 F","500,000","1st","120","7.5","14","50%","16","0","0","0"
"*03cdu*","Kyle Van Noy","LAC","LB","247","FA","32","LAC 28<br/>@DEN 31 F","500,000","1st","120","7.5","","38%","16","0","0","0"
"*02ztp*","Tyrann Mathieu","NO","DB","250","Shelton","30","CAR 10<br/>@NO 7 F","500,000","2nd","119.6","7.47","14","75%","16","0","0","0"
"*04ypz*","Christian Wilkins","MIA","DL","251","FA","27","NYJ 6<br/>@MIA 11 F","500,000","9th","119.5","7.03","11","75%","17","0","0","0"
"*04ca8*","Haason Reddick","PHI","LB","253","FA","28","NYG 16<br/>@PHI 22 F","500,000","9th","118.5","7.41","7","75%","16","0","0","0"
"*05rmx*","Jevon Holland","MIA","DB","254","Roberto","23","NYJ 6<br/>@MIA 11 F","562,000","2nd","118.2","7.39","11","75%","16","0","0","0"
"*03okl*","Damien Wilson","CAR","LB","256","FA","29","CAR 10<br/>@NO 7 F","500,000","1st","118.1","6.95","","25%","17","0","0","0"
"*03cku*","Shaquil Barrett","TB","LB","258","FA","30","TB 17<br/>@ATL 30 F","700,000","3rd","117.8","8.41","11","38%","14","0","0","0"
"*040fa*","Vonn Bell","CIN","DB","259","QBRT","28","BAL 16<br/>@CIN 27 F","600,000","2nd","117.5","7.34","13","62%","16","0","0","0"
"*040du*","Leonard Floyd","LAR","LB","260","FA","30","LAR 16<br/>@SEA 19 F","500,000","1st","117.1","6.89","","50%","17","0","0","0"
"*04ogp*","Tracy Walker","DET","DB","261","Aaron","28","DET 20<br/>@GB 16 F","2,800,000","3rd","117","7.8","6","50%","15","0","0","0"
"*02zso*","Darius Slay","PHI","DB","262","FA","32","NYG 16<br/>@PHI 22 F","500,000","1st","116.1","7.26","7","38%","16","0","0","0"
"*04mp3*","Terrell Edmunds","PIT","DB","265","FA","26","CLE 14<br/>@PIT 28 F","500,000","1st","115.5","6.79","7","25%","17","0","0","0"
"*04yqc*","Amani Oruwariye","DET","DB","266","FA","27","DET 20<br/>@GB 16 F","500,000","1st","114.8","8.2","9","25%","14","0","0","0"
"*04cg8*","Chuck Clark","BAL","DB","267","FA","27","BAL 16<br/>@CIN 27 F","500,000","1st","114.7","7.17","10","50%","16","0","0","0"
"*040g8*","Kendall Fuller","WAS","DB","268","FA","28","DAL 6<br/>@WAS 26 F","500,000","1st","114.5","7.16","14","38%","16","0","0","0"
"*040gh*","Joe Schobert","TEN","LB","269","FA","29","Bye","500,000","1st","114.3","7.14","","25%","16","0","0","0"
"*05rlr*","Patrick Surtain","DEN","DB","270","FA","22","LAC 28<br/>@DEN 31 F","500,000","9th","114","7.12","9","62%","16","0","0","0"
"*04yq7*","Johnathan Abram","LV/GB/SEA","DB","271","Roberto","26","LAR 16<br/>@SEA 19 F","8,748,000","2050","113.1","8.08","14","38%","14","0","0","0"
"*04mtd*","Tremaine Edmunds","BUF","LB","272","Roberto","24","NE 23<br/>@BUF 35 F","8,100,000","2nd","112.9","7.53","14","75%","15","0","0","0"
"*05jcy*","Bryce Hall","NYJ","DB","273","FA","25","NYJ 6<br/>@MIA 11 F","500,000","1st","112.5","6.62","10","25%","17","0","0","0"
"*04cde*","Jourdan Lewis","DAL","DB","274","FA","27","DAL 6<br/>@WAS 26 F","500,000","1st","112.3","7.02","9","12%","16","0","0","0"
"*04yq1*","Jeffery Simmons","TEN","DL","276","Mullen","25","TEN 16<br/>@JAX 20 F","500,000","2nd","112","6.59","6","75%","17","0","0","0"
"*02j8g*","Chandler Jones","LV","DL","275","QBRT","33","KC 31<br/>@LV 13 F","600,000","2nd","112","7.47","6","50%","15","0","0","0"
"*04zv3*","Maxx Crosby","LV","DL","277","Mullen","25","KC 31<br/>@LV 13 F","500,000","9th","111.5","6.56","6","100%","17","0","0","0"
"*05j9x*","Patrick Queen","BAL","LB","280","Nick","23","BAL 16<br/>@CIN 27 F","625,000","3rd","111","6.53","10","100%","17","0","0","0"
"*026s4*","Von Miller","BUF","LB","279","Shelton","34","NE 23<br/>@BUF 35 F","1,000,000","3rd","111","7.4","7","62%","15","0","0","0"
"*05jcc*","L'Jarius Sneed","KC","DB","281","Pong","26","KC 31<br/>@LV 13 F","500,000","1st","110.2","7.35","8","88%","15","0","0","0"
"*03ol2*","Adrian Amos","GB","DB","282","FA","29","DET 20<br/>@GB 16 F","500,000","9th","110","6.47","","50%","17","0","0","0"
"*040ej*","Emmanuel Ogbah","MIA","DL","283","FA","29","NYJ 6<br/>@MIA 11 F","500,000","9th","110","6.47","11","12%","17","0","0","0"
"*03oij*","Markus Golden","ARI","LB","286","FA","32","ARI 13<br/>@SF 38 F","500,000","1st","109.5","6.84","","38%","16","0","0","0"
"*05007*","Troy Reeder","LAC","LB","289","FA","28","LAC 28<br/>@DEN 31 F","500,000","1st","108.7","6.39","7","25%","17","0","0","0"
"*04yqk*","Nasir Adderley","LAC","DB","291","FA","25","LAC 28<br/>@DEN 31 F","500,000","1st","108.3","7.22","","25%","15","0","0","0"
"*03cer*","Christian Kirksey","HOU","LB","292","Aaron","30","HOU 32<br/>@IND 31 F","1,100,000","3rd","108.1","8.32","6","62%","13","0","0","0"
"*05je6*","Jordan Fuller","LAR","DB","293","FA","25","LAR 16<br/>@SEA 19 F","500,000","1st","107.9","6.74","7","50%","16","0","0","0"
"*03ohw*","Landon Collins","NYG","DB","294","FA","29","NYG 16<br/>@PHI 22 F","500,000","1st","107.8","8.29","","12%","13","0","0","0"
"*05jbo*","Alex Highsmith","PIT","DL,LB","295","Yoshi","25","CLE 14<br/>@PIT 28 F","500,000","9th","107.5","6.72","9","88%","16","0","0","0"
"*04ohl*","Ja'Whaun Bentley","NE","LB","296","Mullen","26","NE 23<br/>@BUF 35 F","500,000","9th","107","6.69","10","62%","16","0","0","0"
"*04ccl*","Chidobe Awuzie","CIN","DB","298","FA","27","BAL 16<br/>@CIN 27 F","500,000","1st","106.7","7.62","10","50%","14","0","0","0"
"*04moe*","Sam Hubbard","CIN","DL","299","FA","27","BAL 16<br/>@CIN 27 F","500,000","9th","106.5","6.66","10","62%","16","0","0","0"
"*04yqe*","Brian Burns","CAR","DL","302","Bryce","24","CAR 10<br/>@NO 7 F","500,000","3rd","106","6.24","13","88%","17","0","0","0"
"*02j9f*","Lavonte David","TB","LB","303","QBRT","33","TB 17<br/>@ATL 30 F","600,000","2nd","105.5","8.79","11","75%","12","0","0","0"
"*03ol3*","Bobby McCain","WAS","DB","305","FA","29","DAL 6<br/>@WAS 26 F","500,000","1st","105.3","6.19","9","12%","17","0","0","0"
"*05jay*","Brandon Jones","MIA","DB","306","ROTK_Ben","25","NYJ 6<br/>@MIA 11 F","500,000","9th","105.3","7.02","11","50%","15","0","0","0"
"*040jq*","Elandon Roberts","MIA","LB","307","FA","28","NYJ 6<br/>@MIA 11 F","500,000","1st","105","6.18","9","50%","17","0","0","0"
"*04zvt*","Andrew Van Ginkel","MIA","LB","308","FA","27","NYJ 6<br/>@MIA 11 F","500,000","1st","105","6.18","11","12%","17","0","0","0"
"*04mq7*","D.J. Reed","NYJ","DB","309","RBM","26","NYJ 6<br/>@MIA 11 F","600,000","2nd","104.8","7.49","10","50%","14","0","0","0"
"*04cds*","Trey Hendrickson","CIN","DL","310","FA","28","BAL 16<br/>@CIN 27 F","500,000","1st","104.5","6.53","10","62%","16","0","0","0"
"*04ogg*","Jessie Bates","CIN","DB","313","RBM","26","BAL 16<br/>@CIN 27 F","1,200,000","2nd","103.5","6.9","14","75%","15","0","0","0"
"*040dw*","DeForest Buckner","IND","DL","317","Aaron","29","HOU 32<br/>@IND 31 F","800,000","2nd","103","6.06","14","75%","17","0","0","0"
"*04oh7*","Taron Johnson","BUF","DB","318","FA","26","NE 23<br/>@BUF 35 F","500,000","1st","102.9","6.43","7","50%","16","0","0","0"
"*04omr*","Tavierre Thomas","HOU","DB","319","FA","27","HOU 32<br/>@IND 31 F","500,000","1st","102.8","6.05","6","25%","17","0","0","0"
"*05rnx*","Paulson Adebo","NO","DB","320","FA","23","CAR 10<br/>@NO 7 F","500,000","1st","102.5","6.41","14","38%","16","0","0","0"
"*04mpu*","Jordan Whitehead","NYJ","DB","321","FA","26","NYJ 6<br/>@MIA 11 F","500,000","9th","102.4","7.31","10","38%","14","0","0","0"
"*04cff*","Anthony Walker","CLE","LB","322","RBM","27","CLE 14<br/>@PIT 28 F","500,000","1st","102","7.85","9","50%","13","0","0","0"
"*040fb*","James Bradberry","PHI","DB","323","FA","29","NYG 16<br/>@PHI 22 F","500,000","1st","101.9","5.99","7","50%","17","0","0","0"
"*040le*","Mike Hilton","CIN","DB","324","FA","29","BAL 16<br/>@CIN 27 F","500,000","1st","101.9","6.37","10","12%","16","0","0","0"
"*040dr*","Joey Bosa","LAC","DL,LB","328","Roberto","27","LAC 28<br/>@DEN 31 F","3,800,000","2nd","100","6.25","8","75%","16","0","0","0"
"*01cz6*","Malcolm Jenkins","NO","DB","329","FA","35","CAR 10<br/>@NO 7 F","500,000","1st","99.9","6.24","14","12%","16","0","0","0"
"*03cct*","Anthony Barr","DAL","LB","330","FA","31","DAL 6<br/>@WAS 26 F","500,000","1st","99.6","9.05","","25%","11","0","0","0"
"*05jeg*","Kamren Curl","WAS","DB","331","QBRT","24","DAL 6<br/>@WAS 26 F","500,000","2nd","99.5","6.22","14","75%","16","0","0","0"
"*04ynw*","Germaine Pratt","CIN","LB","332","FA","26","BAL 16<br/>@CIN 27 F","500,000","9th","99.1","6.61","10","62%","15","0","0","0"
"*03oh5*","Leonard Williams","NYG","DL","333","QBRT","28","NYG 16<br/>@PHI 22 F","500,000","2nd","99","5.82","9","50%","17","0","0","0"
"*05rqz*","Brandin Echols","NYJ","DB","334","FA","25","NYJ 6<br/>@MIA 11 F","500,000","1st","98.5","7.04","10","12%","14","0","0","0"
"*04ca4*","Jamal Adams","SEA","DB","337","Aaron","27","LAR 16<br/>@SEA 19 F","6,500,000","2nd","97.5","8.12","11","88%","12","0","0","0"
"*04caf*","Jonathan Allen","WAS","DL","338","Shelton","28","DAL 6<br/>@WAS 26 F","500,000","9th","97.5","5.74","14","62%","17","0","0","0"
"*03cde*","Jimmie Ward","SF","DB","340","FA","31","ARI 13<br/>@SF 38 F","500,000","1st","96.7","6.04","6","38%","16","0","0","0"
"*04cai*","Charles Harris","DET","DL,LB","341","FA","28","DET 20<br/>@GB 16 F","500,000","1st","96.5","5.68","6","12%","17","0","0","0"
"*04ohf*","Avonte Maddox","PHI","DB","342","FA","27","NYG 16<br/>@PHI 22 F","500,000","1st","96.4","6.03","7","25%","16","0","0","0"
"*04cc8*","Tyus Bowser","BAL","LB","343","FA","27","BAL 16<br/>@CIN 27 F","500,000","1st","96","5.65","10","25%","17","0","0","0"
"*04cc2*","Marcus Williams","BAL","DB","345","FA","26","BAL 16<br/>@CIN 27 F","500,000","9th","95.6","5.97","10","50%","16","0","0","0"
"*05rn1*","Tyson Campbell","JAX","DB","348","FA","23","TEN 16<br/>@JAX 20 F","500,000","1st","94.3","6.29","11","38%","15","0","0","0"
"*03cqs*","Daniel Sorensen","NO","DB","352","FA","33","CAR 10<br/>@NO 7 F","500,000","1st","93.5","5.5","","25%","17","0","0","0"
"*04mo2*","Denzel Ward","CLE","DB","353","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","93.3","6.22","9","62%","15","0","0","0"
"*04moa*","Donte Jackson","CAR","DB","354","FA","27","CAR 10<br/>@NO 7 F","500,000","1st","93.1","7.76","13","12%","12","0","0","0"
"*03oj7*","P.J. Williams","NO","DB","357","FA","29","CAR 10<br/>@NO 7 F","500,000","1st","92.1","5.76","","12%","16","0","0","0"
"*040g2*","Nick Vigil","ARI","LB","358","FA","29","ARI 13<br/>@SF 38 F","500,000","1st","91.8","5.74","","38%","16","0","0","0"
"*040g6*","Javon Hargrave","PHI","DL","363","FA","30","NYG 16<br/>@PHI 22 F","500,000","1st","91.5","5.72","9","75%","16","0","0","0"
"*05job*","Krys Barnes","GB","LB","361","FA","25","DET 20<br/>@GB 16 F","500,000","1st","91.5","5.72","13","38%","16","0","0","0"
"*04yn6*","Rashan Gary","GB","LB","367","SNLR","25","DET 20<br/>@GB 16 F","500,000","2nd","91","5.69","14","38%","16","0","0","0"
"*03oi3*","Preston Smith","GB","LB","368","FA","30","DET 20<br/>@GB 16 F","500,000","1st","91","5.69","14","38%","16","0","0","0"
"*03cyh*","Denico Autry","TEN","DL","366","FA","32","TEN 16<br/>@JAX 20 F","500,000","1st","91","5.35","6","25%","17","0","0","0"
"*01tm2*","Devin McCourty","NE","DB","369","FA","35","NE 23<br/>@BUF 35 F","500,000","1st","90.9","5.35","10","38%","17","0","0","0"
"*04om0*","Charvarius Ward","SF","DB","371","FA","26","ARI 13<br/>@SF 38 F","500,000","1st","90.5","6.96","9","38%","13","0","0","0"
"*01tmy*","Carlos Dunlap","KC","DL,LB","370","FA","34","KC 31<br/>@LV 13 F","500,000","1st","90.5","5.32","","0%","17","0","0","0"
"*01tly*","Kareem Jackson","DEN","DB","373","SNLR","35","LAC 28<br/>@DEN 31 F","500,000","9th","90.2","6.01","","25%","15","0","0","0"
"*04yq9*","Zach Allen","ARI","DL","374","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","90","6","9","50%","15","0","0","0"
"*04orn*","Darious Williams","JAX","DB","375","FA","30","TEN 16<br/>@JAX 20 F","500,000","1st","90","6.43","11","12%","14","0","0","0"
"*050ep*","Nik Needham","MIA","DB","376","FA","26","NYJ 6<br/>@MIA 11 F","500,000","1st","89.8","5.28","11","12%","17","0","0","0"
"*040er*","Myles Jack","PIT","LB","378","Roberto","27","CLE 14<br/>@PIT 28 F","4,500,000","2nd","89.5","5.97","","50%","15","0","0","0"
"*04ccj*","Zach Cunningham","TEN","LB","377","FA","28","TEN 16<br/>@JAX 20 F","500,000","1st","89.5","6.39","","25%","14","0","0","0"
"*040sm*","Cory Littleton","CAR","LB","379","FA","29","CAR 10<br/>@NO 7 F","500,000","1st","89.5","5.26","6","12%","17","0","0","0"
"*05jbz*","D.J. Wonnum","MIN","DL,LB","380","FA","25","MIN 29<br/>@CHI 13 F","500,000","1st","89.5","5.26","7","12%","17","0","0","0"
"*04zwc*","David Long","TEN","LB","383","Roberto","26","TEN 16<br/>@JAX 20 F","500,000","1st","89.1","8.91","","62%","10","0","0","0"
"*04moy*","Anthony Averett","LV","DB","382","FA","28","KC 31<br/>@LV 13 F","500,000","1st","89.1","6.36","","12%","14","0","0","0"
"*04mtc*","Levi Wallace","PIT","DB","384","FA","27","CLE 14<br/>@PIT 28 F","500,000","1st","88.9","5.23","9","0%","17","0","0","0"
"*04zyr*","Andrew Wingard","JAX","DB","385","FA","26","TEN 16<br/>@JAX 20 F","500,000","1st","88.8","5.92","11","25%","15","0","0","0"
"*04zuq*","Will Harris","DET","DB","386","FA","27","DET 20<br/>@GB 16 F","500,000","1st","88.5","5.21","6","25%","17","0","0","0"
"*05rlj*","Gregory Rousseau","BUF","DL","387","ROTK_Ben","23","NE 23<br/>@BUF 35 F","500,000","9th","88.3","5.19","7","75%","17","0","0","0"
"*04zv1*","Mike Edwards","TB","DB","388","Aaron","26","TB 17<br/>@ATL 30 F","500,000","9th","88.1","6.29","8","38%","14","0","0","0"
"*04ccz*","Alex Anzalone","DET","LB","389","Aaron","28","DET 20<br/>@GB 16 F","500,000","9th","88","6.29","6","75%","14","0","0","0"
"*05rme*","Azeez Ojulari","NYG","DL,LB","391","FA","22","NYG 16<br/>@PHI 22 F","500,000","1st","88","5.18","9","50%","17","0","0","0"
"*02aa4*","Josh Bynes","BAL","LB","390","FA","33","BAL 16<br/>@CIN 27 F","500,000","1st","88","6.29","10","25%","14","0","0","0"
"*03ccl*","Jadeveon Clowney","CLE","DL","393","FA","30","CLE 14<br/>@PIT 28 F","500,000","1st","87.5","6.25","","25%","14","0","0","0"
"*02zsk*","Alec Ogletree","(N/A)","LB","394","FA","31","Bye","500,000","9th","87.5","5.47","","25%","16","0","0","0"
"*04mt9*","Lorenzo Carter","ATL","LB","396","FA","27","TB 17<br/>@ATL 30 F","500,000","1st","87.1","6.22","14","25%","14","0","0","0"
"*04yqd*","Chauncey Gardner-Johnson","PHI","DB","401","Yoshi","25","NYG 16<br/>@PHI 22 F","500,000","9th","86.5","7.21","6","62%","12","0","0","0"
"*04zu3*","Darnell Savage","GB","DB","402","FA","25","DET 20<br/>@GB 16 F","500,000","9th","86.5","5.09","14","38%","17","0","0","0"
