"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*03cdr*","Demarcus Lawrence","DAL","DL","282","Mullen","30","DAL 6<br/>@WAS 26 F","500,000","9th","77.5","9","75%","9","0","0","0"
"*05rmp*","Pete Werner","NO","LB","443","DN","23","CAR 10<br/>@NO 7 F","500,000","2020","77","14","62%","9","0","0","0"
"*04ymy*","Nick Bosa","SF","DL","155","Pong","25","ARI 13<br/>@SF 38 F","625,000","3rd","76.5","9","75%","8","0","0","0"
"*03ccq*","Khalil Mack","LAC","LB","324","DN","32","LAC 28<br/>@DEN 31 F","500,000","2nd","76.5","8","50%","9","0","0","0"
"*040g6*","Javon Hargrave","PHI","DL","256","FA","30","NYG 16<br/>@PHI 22 F","500,000","1st","76","9","75%","9","0","0","0"
"*04zv1*","Mike Edwards","TB","DB","307","Aaron","26","TB 17<br/>@ATL 30 F","500,000","9th","75.8","8","38%","9","0","0","0"
"*04ce8*","Rayshawn Jenkins","JAX","DB","135","FA","29","TEN 16<br/>@JAX 20 F","500,000","1st","75.5","11","75%","10","0","0","0"
"*04yo9*","Julian Love","NYG","DB","180","Yoshi","25","NYG 16<br/>@PHI 22 F","500,000","9th","75.2","11","75%","9","0","0","0"
"*01tmd*","Jerry Hughes","HOU","DL","386","FA","34","HOU 32<br/>@IND 31 F","500,000","1st","74.9","6","0%","9","0","0","0"
"*0529i*","Jalen Thompson","ARI","DB","243","DN","24","ARI 13<br/>@SF 38 F","500,000","1st","74","13","75%","10","0","0","0"
"*04yn3*","Quinnen Williams","NYJ","DL","218","SNLR","25","Bye","500,000","1st","74","10","75%","9","0","0","0"
"*04cf0*","Grover Stewart","IND","DL","331","Nick","29","HOU 32<br/>@IND 31 F","500,000","9th","74","14","50%","10","0","0","0"
"*04cf8*","Desmond King","HOU","DB","134","Yoshi","28","HOU 32<br/>@IND 31 F","500,000","9th","73.4","6","38%","9","0","0","0"
"*04caf*","Jonathan Allen","WAS","DL","253","Shelton","28","DAL 6<br/>@WAS 26 F","500,000","9th","73.1","14","62%","10","0","0","0"
"*05jaj*","Antoine Winfield","TB","DB","278","Yoshi","24","TB 17<br/>@ATL 30 F","500,000","3rd","73","11","88%","8","0","0","0"
"*04omo*","Jonathan Owens","HOU","DB","250","Mullen","27","HOU 32<br/>@IND 31 F","500,000","9th","73","","62%","9","0","0","0"
"*05j9m*","Jeff Okudah","DET","DB","350","QBRT","24","DET 20<br/>@GB 16 F","562,500","3rd","73","14","50%","9","0","0","0"
"*04ccz*","Alex Anzalone","DET","LB","202","Aaron","28","DET 20<br/>@GB 16 F","500,000","9th","72.5","6","75%","9","0","0","0"
"*02j9f*","Lavonte David","TB","LB","177","QBRT","33","TB 17<br/>@ATL 30 F","600,000","2nd","72","11","75%","10","0","0","0"
"*040fb*","James Bradberry","PHI","DB","318","FA","29","NYG 16<br/>@PHI 22 F","500,000","1st","70.9","7","50%","9","0","0","0"
"*03ccz*","Aaron Donald","LAR","DL","455","SNLR","31","LAR 16<br/>@SEA 19 F","4,000,000","2nd","70.5","7","75%","9","0","0","0"
"*04mtd*","Tremaine Edmunds","BUF","LB","260","Roberto","24","NE 23<br/>@BUF 35 F","8,100,000","2nd","70.5","14","75%","8","0","0","0"
"*03cer*","Christian Kirksey","HOU","LB","163","Aaron","30","HOU 32<br/>@IND 31 F","1,100,000","3rd","70.5","6","62%","9","0","0","0"
"*060lh*","Quay Walker","GB","LB","207","Bryce","22","DET 20<br/>@GB 16 F","500,000","2022","70","14","75%","10","0","0","0"
"*05jan*","Trevon Diggs","DAL","DB","327","FA","24","DAL 6<br/>@WAS 26 F","3,000,000","2022","69.5","9","62%","9","0","0","0"
"*04mp4*","Jaire Alexander","GB","DB","265","FA","26","DET 20<br/>@GB 16 F","500,000","9th","69.2","14","62%","9","0","0","0"
"*03osn*","Alex Singleton","DEN","LB","169","DN","29","LAC 28<br/>@DEN 31 F","2,000,000","2nd","69","9","88%","9","0","0","0"
"*040dw*","DeForest Buckner","IND","DL","249","Aaron","29","HOU 32<br/>@IND 31 F","800,000","2nd","69","14","75%","10","0","0","0"
"*026s4*","Von Miller","BUF","LB","503","Shelton","34","NE 23<br/>@BUF 35 F","1,000,000","3rd","69","7","62%","9","0","0","0"
"*05rlz*","Jamin Davis","WAS","LB","255","Pong","24","DAL 6<br/>@WAS 26 F","562,000","2nd","68.5","14","62%","10","0","0","0"
"*05rn1*","Tyson Campbell","JAX","DB","232","FA","23","TEN 16<br/>@JAX 20 F","500,000","1st","67.3","11","38%","10","0","0","0"
"*04ca0*","Myles Garrett","CLE","DL","161","Shelton","27","CLE 14<br/>@PIT 28 F","15,022,500","5th","67","9","100%","8","0","0","0"
"*04mpb*","DeShon Elliott","DET","DB","302","FA","25","DET 20<br/>@GB 16 F","500,000","9th","67","11","50%","8","0","0","0"
"*04zvw*","Michael Jackson","SEA","DB","286","FA","26","LAR 16<br/>@SEA 19 F","500,000","1st","67","11","12%","10","1","0","1"
"*04oh7*","Taron Johnson","BUF","DB","266","FA","26","NE 23<br/>@BUF 35 F","500,000","1st","66.7","7","50%","9","0","0","0"
"*02zu8*","Duron Harmon","LV","DB","280","FA","32","KC 31<br/>@LV 13 F","500,000","1st","66.6","","25%","9","0","0","0"
"*05rrb*","Damar Hamlin","BUF","DB","342","ROTK_Ben","25","NE 23<br/>@BUF 35 F","500,000","9th","66.5","7","62%","9","0","0","0"
"*04csc*","Nicholas Morrow","CHI","LB","235","Bryce","27","MIN 29<br/>@CHI 13 F","500,000","9th","66","7","50%","10","0","0","0"
"*04yn6*","Rashan Gary","GB","LB","544","SNLR","25","DET 20<br/>@GB 16 F","500,000","2nd","66","14","38%","9","0","0","0"
"*04cdn*","Rasul Douglas","GB","DB","194","FA","27","DET 20<br/>@GB 16 F","500,000","1st","65.9","14","75%","10","0","0","0"
"*04yqh*","Jamel Dean","TB","DB","458","FA","26","TB 17<br/>@ATL 30 F","500,000","1st","65.9","11","12%","10","0","0","0"
"*01tm2*","Devin McCourty","NE","DB","294","FA","35","Bye","500,000","1st","65.6","10","38%","9","0","0","0"
"*04ynw*","Germaine Pratt","CIN","LB","239","FA","26","Bye","500,000","9th","65.3","10","62%","8","0","0","0"
"*05jai*","Grant Delpit","CLE","DB","188","Shelton","24","CLE 14<br/>@PIT 28 F","500,000","2020","65.1","9","75%","9","0","0","0"
"*04yq9*","Zach Allen","ARI","DL","414","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","65","9","50%","10","0","0","0"
"*026un*","Justin Houston","BAL","DL,LB","482","FA","34","BAL 16<br/>@CIN 27 F","500,000","9th","65","","25%","6","0","0","0"
"*04om0*","Charvarius Ward","SF","DB","290","FA","26","ARI 13<br/>@SF 38 F","500,000","1st","64.9","9","38%","9","0","0","0"
"*04cad*","Adoree' Jackson","NYG","DB","536","FA","27","NYG 16<br/>@PHI 22 F","500,000","1st","64.7","9","25%","9","0","0","0"
"*04mpm*","Jerome Baker","MIA","LB","248","ROTK_Ben","26","NYJ 6<br/>@MIA 11 F","4,100,000","3rd","64.5","11","75%","10","0","0","0"
"*026sl*","Cameron Jordan","NO","DL","288","RBM","33","CAR 10<br/>@NO 7 F","500,000","2nd","64.5","14","75%","10","0","0","0"
"*04ca8*","Haason Reddick","PHI","LB","185","FA","28","NYG 16<br/>@PHI 22 F","500,000","9th","64.5","7","75%","9","0","0","0"
"*05rpz*","Darrick Forrest","WAS","DB","261","FA","23","DAL 6<br/>@WAS 26 F","500,000","1st","64.1","14","50%","10","0","0","0"
"*05jc5*","Jaylinn Hawkins","ATL","DB","355","FA","25","TB 17<br/>@ATL 30 F","500,000","1st","63.9","14","25%","9","0","0","0"
"*060li*","Roger McCreary","TEN","DB","335","FA","23","TEN 16<br/>@JAX 20 F","500,000","1st","63.9","6","25%","9","0","0","0"
"*04oxc*","Ryan Neal","SEA","DB","383","FA","27","LAR 16<br/>@SEA 19 F","500,000","9th","63.3","11","12%","10","0","0","0"
"*05rp8*","Marco Wilson","ARI","DB","313","FA","24","ARI 13<br/>@SF 38 F","500,000","1st","62.8","13","25%","10","0","0","0"
"*04yq1*","Jeffery Simmons","TEN","DL","351","Mullen","25","TEN 16<br/>@JAX 20 F","500,000","2nd","62.5","6","75%","8","0","0","0"
"*040er*","Myles Jack","PIT","LB","375","Roberto","27","CLE 14<br/>@PIT 28 F","4,500,000","2nd","62.5","","50%","8","0","0","0"
"*03oks*","Grady Jarrett","ATL","DL","373","Mullen","29","TB 17<br/>@ATL 30 F","500,000","9th","62.5","14","38%","10","0","0","0"
"*060rk*","Kyler Gordon","CHI","DB","312","FA","23","MIN 29<br/>@CHI 13 F","500,000","1st","62.2","14","25%","10","0","0","0"
"*04ypz*","Christian Wilkins","MIA","DL","204","FA","27","NYJ 6<br/>@MIA 11 F","500,000","9th","62","11","75%","10","0","0","0"
"*02ztp*","Tyrann Mathieu","NO","DB","231","Shelton","30","CAR 10<br/>@NO 7 F","500,000","2nd","61.8","14","75%","10","0","0","0"
"*04moo*","Leighton Vander Esch","DAL","LB","419","DN","26","DAL 6<br/>@WAS 26 F","500,000","2nd","61.5","9","62%","9","0","0","0"
"*05j9p*","Derrick Brown","CAR","DL","459","FA","24","CAR 10<br/>@NO 7 F","500,000","1st","61.5","13","12%","10","0","0","0"
"*04cab*","Marlon Humphrey","BAL","DB","259","FA","26","Bye","500,000","9th","61.1","10","62%","9","0","0","0"
"*04moe*","Sam Hubbard","CIN","DL","354","FA","27","Bye","500,000","9th","61","10","62%","9","0","0","0"
"*04mpu*","Jordan Whitehead","NYJ","DB","299","FA","26","Bye","500,000","9th","61","10","38%","9","0","0","0"
"*040em*","Chris Jones","KC","DL","197","RBM","28","KC 31<br/>@LV 13 F","500,000","2nd","60.5","8","88%","9","0","0","0"
"*04cc2*","Marcus Williams","BAL","DB","356","FA","26","Bye","500,000","9th","60.3","10","50%","5","0","0","0"
"*04ctd*","Kenny Moore","IND","DB","486","RBM","27","HOU 32<br/>@IND 31 F","500,000","2nd","60","14","62%","10","0","0","0"
"*0611k*","Malcolm Rodriguez","DET","LB","365","Nick","24","DET 20<br/>@GB 16 F","500,000","9th","60","6","62%","8","0","0","0"
"*04oha*","Kyzir White","PHI","LB","271","Mullen","27","NYG 16<br/>@PHI 22 F","500,000","9th","60","13","62%","9","0","0","0"
"*05rnw*","Ernest Jones","LAR","LB","296","FA","23","LAR 16<br/>@SEA 19 F","500,000","1st","60","7","50%","9","0","0","0"
"*04mq7*","D.J. Reed","NYJ","DB","317","RBM","26","Bye","600,000","2nd","60","10","50%","9","0","0","0"
"*04yq3*","Dre'Mont Jones","DEN","DL","485","FA","26","LAC 28<br/>@DEN 31 F","500,000","1st","60","11","38%","9","0","0","0"
"*04moa*","Donte Jackson","CAR","DB","594","FA","27","CAR 10<br/>@NO 7 F","500,000","1st","60","13","12%","9","0","0","0"
"*06128*","Jaylen Watson","KC","DB","465","FA","24","KC 31<br/>@LV 13 F","500,000","1st","59.9","8","12%","9","0","0","0"
"*02zso*","Darius Slay","PHI","DB","369","FA","32","NYG 16<br/>@PHI 22 F","500,000","1st","59.7","7","38%","9","0","0","0"
"*05rng*","Divine Deablo","LV","LB,DB","600","Pong","24","KC 31<br/>@LV 13 F","500,000","9th","59","6","75%","8","0","0","0"
"*04cem*","Deatrich Wise","NE","DL","363","FA","28","Bye","500,000","1st","59","10","62%","9","0","0","0"
"*060zh*","Marcus Jones","NE","DB","89","FA","24","Bye","500,000","1st","58.9","10","38%","8","0","0","0"
"*060k4*","Derek Stingley Jr.","HOU","DB","605","RBM","21","HOU 32<br/>@IND 31 F","562,000","1st","58.9","6","62%","9","0","0","0"
"*060jq*","Aidan Hutchinson","DET","DL","237","QBRT","22","DET 20<br/>@GB 16 F","562,000","2022","58.5","6","88%","9","0","0","0"
"*02jqj*","Rodney McLeod","IND","DB","226","FA","32","HOU 32<br/>@IND 31 F","500,000","1st","58.5","","25%","10","0","0","0"
"*05jeu*","Dane Jackson","BUF","DB","376","FA","26","NE 23<br/>@BUF 35 F","500,000","1st","58.3","7","0%","8","0","0","0"
"*05je5*","Isaiah Rodgers","IND","DB","370","FA","25","HOU 32<br/>@IND 31 F","500,000","1st","58.1","14","0%","10","0","0","0"
"*026st*","Cameron Heyward","PIT","DL","190","Aaron","33","CLE 14<br/>@PIT 28 F","700,000","3rd","58","9","75%","9","0","0","0"
"*04ohl*","Ja'Whaun Bentley","NE","LB","234","Mullen","26","Bye","500,000","9th","57.7","10","62%","9","0","0","0"
"*04zvq*","Dre Greenlaw","SF","LB","189","Nick","25","ARI 13<br/>@SF 38 F","500,000","9th","57.5","9","88%","8","0","0","0"
"*03ol2*","Adrian Amos","GB","DB","242","FA","29","DET 20<br/>@GB 16 F","500,000","9th","57.5","","50%","10","0","0","0"
"*04oh9*","Dorance Armstrong","DAL","DL","371","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","57.5","9","50%","9","0","0","0"
"*040jq*","Elandon Roberts","MIA","LB","244","FA","28","NYJ 6<br/>@MIA 11 F","500,000","1st","57.5","9","50%","10","0","0","0"
"*05jbc*","Cameron Dantzler","MIN","DB","548","Pong","24","MIN 29<br/>@CHI 13 F","500,000","9th","57.5","14","38%","8","0","0","0"
"*03cyh*","Denico Autry","TEN","DL","454","FA","32","TEN 16<br/>@JAX 20 F","500,000","1st","57.5","6","25%","9","0","0","0"
"*04yqb*","Byron Murphy","ARI","DB","614","FA","25","ARI 13<br/>@SF 38 F","500,000","1st","57.5","7","12%","9","0","0","0"
"*03ojm*","Steven Nelson","HOU","DB","500","FA","30","HOU 32<br/>@IND 31 F","500,000","1st","57.3","6","0%","9","0","0","0"
"*03cdx*","Lamarcus Joyner","NYJ","DB","480","FA","32","NYJ 6<br/>@MIA 11 F","500,000","1st","57.1","","12%","9","0","0","0"
"*04mnx*","Bradley Chubb","DEN/MIA","DL,LB","484","Mullen","26","NYJ 6<br/>@MIA 11 F","12,413,563","5th","57","11","62%","10","0","0","0"
"*040f8*","Kevin Byard","TEN","DB","220","Bryce","29","TEN 16<br/>@JAX 20 F","500,000","2nd","56.9","6","75%","9","0","0","0"
"*04mt9*","Lorenzo Carter","ATL","LB","391","FA","27","TB 17<br/>@ATL 30 F","500,000","1st","56.8","14","25%","10","0","1","1"
"*06101*","Jack Jones","NE","DB","531","FA","25","Bye","500,000","1st","56.5","10","0%","9","0","0","0"
"*05jas*","Logan Wilson","CIN","LB","195","Aaron","26","Bye","562,500","2nd","56.1","10","75%","8","0","0","0"
"*04zw3*","Cole Holcomb","WAS","LB","627","FA","26","DAL 6<br/>@WAS 26 F","8,500,000","2022","56","9","75%","7","0","0","0"
"*04yq8*","Dexter Lawrence","NYG","DL","329","Pong","25","NYG 16<br/>@PHI 22 F","500,000","9th","56","9","75%","9","0","0","0"
"*026se*","J.J. Watt","ARI","DL","214","DN","34","ARI 13<br/>@SF 38 F","500,000","2nd","56","13","12%","9","0","0","0"
"*060zq*","Martin Emerson","CLE","DB","372","FA","22","CLE 14<br/>@PIT 28 F","500,000","1st","55.5","9","25%","9","0","0","0"
"*04yq0*","Montez Sweat","WAS","DL","358","Bryce","26","DAL 6<br/>@WAS 26 F","500,000","9th","55","14","50%","10","0","0","0"
"*05jeg*","Kamren Curl","WAS","DB","425","QBRT","24","DAL 6<br/>@WAS 26 F","500,000","2nd","54.5","14","75%","8","0","0","0"
"*0610c*","Coby Bryant","SEA","DB","413","FA","24","LAR 16<br/>@SEA 19 F","500,000","1st","54.5","11","38%","10","0","0","0"
"*04mo9*","Vita Vea","TB","DL","581","FA","28","TB 17<br/>@ATL 30 F","500,000","1st","54.5","11","25%","10","0","0","0"
"*04zwg*","Marcus Epps","PHI","DB","323","FA","27","NYG 16<br/>@PHI 22 F","500,000","1st","54.5","6","12%","9","0","0","0"
"*04mpw*","Justin Jones","CHI","DL","441","FA","26","MIN 29<br/>@CHI 13 F","500,000","1st","54.5","14","12%","10","0","0","0"
"*05jay*","Brandon Jones","MIA","DB","642","ROTK_Ben","25","NYJ 6<br/>@MIA 11 F","500,000","9th","54","11","50%","7","0","0","0"
"*040wz*","Jonathan Jones","NE","DB","230","FA","29","Bye","500,000","1st","53.2","10","38%","8","0","0","0"
"*04mt8*","Josey Jewell","DEN","LB","172","LCS","28","LAC 28<br/>@DEN 31 F","500,000","2nd","53","9","100%","5","0","0","0"
"*05rlj*","Gregory Rousseau","BUF","DL","399","ROTK_Ben","23","NE 23<br/>@BUF 35 F","500,000","9th","53","7","75%","8","0","0","0"
"*04ogl*","B.J. Hill","CIN","DL","406","FA","27","Bye","500,000","1st","53","10","62%","9","0","0","0"
"*04cdh*","John Johnson","CLE","DB","274","QBRT","27","CLE 14<br/>@PIT 28 F","1,400,000","2nd","53","","62%","9","0","0","0"
"*05rmg*","Asante Samuel","LAC","DB","385","FA","23","LAC 28<br/>@DEN 31 F","500,000","9th","53","8","38%","9","0","0","0"
"*05j83*","C.J. Henderson","CAR","DB","348","ROTK_Ben","24","CAR 10<br/>@NO 7 F","850,000","3rd","52.9","13","12%","10","0","0","0"
"*04cdp*","Cameron Sutton","PIT","DB","397","FA","28","CLE 14<br/>@PIT 28 F","500,000","1st","52.6","6","0%","8","0","0","0"
"*04mo2*","Denzel Ward","CLE","DB","295","FA","25","CLE 14<br/>@PIT 28 F","500,000","1st","52.5","9","62%","6","0","0","0"
"*02zy2*","Jordan Poyer","BUF","DB","340","DN","31","NE 23<br/>@BUF 35 F","6,200,000","2nd","52.1","7","75%","5","0","0","0"
"*04zv0*","Quincy Williams","NYJ","LB","238","RBM","26","Bye","500,000","1st","52","10","75%","7","0","0","0"
"*05rll*","Jaelan Phillips","MIA","DL,LB","333","Mullen","23","NYJ 6<br/>@MIA 11 F","500,000","2nd","52","11","62%","10","0","0","0"
"*04zxa*","Nick Scott","LAR","DB","362","FA","27","Bye","500,000","1st","52","10","0%","9","0","0","0"
"*04cg8*","Chuck Clark","BAL","DB","361","FA","27","Bye","500,000","1st","51.5","10","50%","9","0","0","0"
"*04mob*","Carlton Davis","TB","DB","357","LCS","26","TB 17<br/>@ATL 30 F","500,000","2nd","51.5","11","50%","8","0","0","0"
"*05rpq*","Michael Carter","NYJ","DB","405","FA","24","Bye","500,000","1st","51.5","10","25%","9","0","0","0"
"*02j80*","Stephon Gilmore","IND","DB","360","FA","32","HOU 32<br/>@IND 31 F","500,000","1st","51.5","9","25%","10","0","0","0"
"*05rnv*","Benjamin St-Juste","WAS","DB","576","FA","25","DAL 6<br/>@WAS 26 F","500,000","1st","51.5","14","0%","10","0","0","0"
"*060jt*","Travon Walker","JAX","DL,LB","525","Mullen","22","TEN 16<br/>@JAX 20 F","562,000","2022","51.4","11","62%","10","0","0","0"
"*01tly*","Kareem Jackson","DEN","DB","398","SNLR","35","LAC 28<br/>@DEN 31 F","500,000","9th","51","","25%","9","0","0","0"
"*05j9u*","Kenneth Murray","LAC","LB","377","FA","24","LAC 28<br/>@DEN 31 F","500,000","1st","50.6","8","50%","9","0","0","0"
"*05jbg*","Jacob Phillips","CLE","LB","682","FA","24","CLE 14<br/>@PIT 28 F","500,000","1st","50.5","9","50%","7","0","0","0"
"*04cgb*","Xavier Woods","CAR","DB","420","Bryce","27","CAR 10<br/>@NO 7 F","500,000","3rd","50.5","13","50%","9","0","0","0"
"*03ol3*","Bobby McCain","WAS","DB","451","FA","29","DAL 6<br/>@WAS 26 F","500,000","1st","50.5","9","12%","10","0","0","0"
